release_time,t,x,y,z,u,v,w,density,radius
1970-01-01 01:00:00,0,0,0,100,1.01859,0,0,1000,0.25
1970-01-01 01:00:00,5,2.67098,0,100,0.362058,0,0,1000,0.704066
1970-01-01 01:00:00,10,4.20016,0,100,0.264622,0,0,1000,0.964027
1970-01-01 01:00:00,15,5.39766,0,100,0.21865,0,0,1000,1.1676
1970-01-01 01:00:00,20,6.41545,0,100,0.190497,0,0,1000,1.34063
1970-01-01 01:00:00,25,7.31675,0,100,0.171061,0,0,1000,1.49385
1970-01-01 01:00:00,30,8.13405,0,100,0.156505,0,0,1000,1.63279
1970-01-01 02:00:00,0,0,0,100,1.01859,0,0,1000,0.25
1970-01-01 02:00:00,5,2.21291,0.565497,100,0.25934,0.149079,0,1000,0.91472
1970-01-01 02:00:00,10,3.23354,1.3651,100,0.164561,0.167689,0,1000,1.29647
1970-01-01 02:00:00,15,3.9413,2.22613,100,0.122962,0.175856,0,1000,1.57041
1970-01-01 02:00:00,20,4.49239,3.11792,100,0.0994864,0.180466,0,1000,1.78271
1970-01-01 02:00:00,25,4.94956,4.02816,100,0.0843584,0.183436,0,1000,1.95656
1970-01-01 02:00:00,30,5.34341,4.95082,100,0.0737621,0.185517,0,1000,2.10424
