release_time,t,x,y,z,u,v,w,density,radius,dilution
1970-01-01,0.0000,0.0000,0.0000,100.0000,1.0186,0.0000,0.0000,1000.1797,0.2500,1.0000
1970-01-01,5.0000,2.6458,0.0000,99.6487,0.3512,0.0000,-0.1111,1008.7066,0.7056,2.8804
1970-01-01,10.0000,4.0864,0.0000,98.9911,0.2406,0.0000,-0.1459,1009.9055,0.9754,4.2047
1970-01-01,15.0000,5.1417,0.0000,98.2385,0.1872,0.0000,-0.1509,1010.2756,1.1960,5.4030
1970-01-01,20.0000,6.0009,0.0000,97.5145,0.1598,0.0000,-0.1359,1010.3239,1.3864,6.3333
1970-01-01,25.0000,6.7643,0.0000,96.9035,0.1473,0.0000,-0.1066,1010.2775,1.5518,6.8782
1970-01-01,30.0000,7.4871,0.0000,96.4656,0.1425,0.0000,-0.0670,1010.2358,1.6957,7.1110
1970-01-01,35.0000,8.1907,0.0000,96.2424,0.1387,0.0000,-0.0224,1010.1914,1.8212,7.3198
1970-01-01,40.0000,8.8659,0.0000,96.2391,0.1305,0.0000,0.0204,1010.0844,1.9367,7.7836
1970-01-01,45.0000,9.4887,0.0000,96.4323,0.1182,0.0000,0.0551,1009.9390,2.0471,8.5861
1970-01-01,50.0000,10.0482,0.0000,96.7686,0.1059,0.0000,0.0766,1009.8274,2.1570,9.5538
1970-01-01,55.0000,10.5552,0.0000,97.1745,0.0977,0.0000,0.0832,1009.7902,2.2674,10.3633
1970-01-01,60.0000,11.0332,0.0000,97.5780,0.0942,0.0000,0.0762,1009.7985,2.3737,10.7256
1970-01-01,61.5234,11.1766,0.0000,97.6908,0.0941,0.0000,0.0717,1009.8010,2.4048,10.7424
